"Branch","Address","Postal Code","T","F","Hours (Weekdays)","Hours (Saturdays)","latitude","longitude"
"Alexandra","460 Alexandra Road, #02-33/34 Alexandra Retail Centre","Singapore 119963","1800-111 1111","6272 9474","8.30 AM - 4.30 PM","8.30 AM - 1.00 PM","1.352083","103.819836","103.819836"
"Ang Mo Kio","53 Ang Mo Kio Avenue 3, #03-01/27 AMK Hub","Singapore 569933","1800-111 1111","6483 4176","10.00 AM - 6.00 PM","10.00 AM - 2.30 PM","1.369017","103.848122","103.848122"
"Bedok","Blk 210 New Upper Changi Road, #01-707","Singapore 460210","1800-111 1111","6449 0793","8.30 AM - 4.30 PM","8.30 AM - 1.00 PM","1.324665","103.932117","103.932117"
"Bishan","9 Bishan Place, #01-14 Junction 8 Shopping Centre","Singapore 579837","1800-111 1111","6353 6270","8.30 AM - 4.30 PM","8.30 AM - 1.00 PM","1.352083","103.819836","103.819836"
"Bukit Timah","1 Jalan Anak Bukit, #01-19/20 Bukit Timah Plaza","Singapore 588996","1800-111 1111","6468 1062","8.30 AM - 4.30 PM","8.30 AM - 1.00 PM","1.339001","103.778958","103.778958"
"Choa Chu Kang","Blk 304 Choa Chu Kang Avenue 4, #01-657/659","Singapore 680304","1800-111 1111","6765 6055","8.30 AM - 4.30 PM","8.30 AM - 1.00 PM","1.380241","103.736921","103.736921"
"Clementi","Blk 450 Clementi Avenue 3, #01-293/295","Singapore 120450","1800-111 1111","6777 7765","8.30 AM - 4.30 PM","8.30 AM - 1.00 PM","1.313578","103.765368","103.765368"
"Great World City","1 Kim Seng Promenade, #02-32 Great World City","Singapore 237994","1800-111 1111","6735 0232","10.00 AM - 6.00 PM","10.00 AM - 2.30 PM","1.352083","103.819836","103.819836"
"Harbourfront","1 Maritime Square, #02-122/123 Harbourfront Centre","Singapore 099253","1800-111 1111","6273 8411","8.30 AM - 4.30 PM","8.30 AM - 1.00 PM","1.264314","103.820348","103.820348"
"Holland Village","257 Holland Village Avenue","Singapore 278984","1800-111 1111","6462 1969","8.30 AM - 4.30 PM","8.30 AM - 1.00 PM","1.328483","103.793213","103.793213"
"Hougang","Blk 204 Hougang Street 21, #01-107/111","Singapore 530204","1800-111 1111","6284 8132","8.30 AM - 4.30 PM","8.30 AM - 1.00 PM","1.358853","103.884919","103.884919"
"Jurong Point","63 Jurong West Central 3, #B1-47/48/49/50 Jurong Point Shopping Centre","Singapore 648331","1800-111 1111","6794 2798","10.00 AM - 8.00 PM","10.00 AM - 8.00 PM","1.352083","103.819836","103.819836"
"Parkway Parade","80 Marine Parade Road, #01-12 Parkway Parade","Singapore 449269","1800-111 1111","6440 9103","8.30 AM - 4.30 PM","8.30 AM - 1.00 PM","1.302002","103.905071","103.905071"
"Plaza Singapura","68 Orchard Road, #B1-25 Plaza Singapura","Singapore 238839","1800-111 1111","6339 4484","10.00 AM - 6.00 PM","10.00 AM - 2.30 PM","1.300614","103.845104","103.845104"
"Raffles City","252 North Bridge Road, #02-26A/B Raffles City Shopping Centre","Singapore 179103","1800-111 1111","6339 2550","8.30 AM - 4.30 PM","8.30 AM - 1.00 PM","1.352083","103.819836","103.819836"
"Resorts World Sentosa","26 Sentosa Gateway, #01-205/206 Resorts World Sentosa","Singapore 098138","1800-111 1111","6238 1993","10.00 AM - 8.00 PM","11:00 AM - 6.00 PM","1.253522","103.825703","103.825703"
"Rochor Branch","Blk 1 Rochor Road, #01-544 Rochor Centre","Singapore 180001 ","1800-111 1111","6295 0254","8.30 AM - 4.30 PM","8.30 AM - 1.00 PM","1.301767","103.852513","103.852513"
"Serangoon Garden","1 Maju Avenue, #01-12/13/14/15 Serangoon Garden Village","Singapore 556679 ","1800-111 1111","6284 5998","8.30 AM - 4.30 PM","8.30 AM - 1.00 PM","1.362687","103.872583","103.872583"
"Tai Seng","26 Tai Seng Street, #01-01","Singapore 534057","1800-111 1111","6604 9770","8.30 AM - 4.30 PM","8.30 AM - 1.00 PM","1.33691","103.889121","103.889121"
"Tampines Centre","4 Tampines Central 5, #01-42/43/44 Tampines Mall","Singapore 529510","1800-111 1111","6789 6162","8.30 AM - 4.30 PM","8.30 AM - 1.00 PM","1.352083","103.819836","103.819836"
"Thomson","301 Upper Thomson Road, #01-45 Thomson Plaza","Singapore 574408","1800-111 1111","6455 2684","8.30 AM - 4.30 PM","8.30 AM - 1.00 PM","1.355247","103.830736","103.830736"
"Toa Payoh","520 Toa Payoh Lorong 6 #02-50 HDB Hub","Singapore 310520","1800-111 1111","6251 7774","8.30 AM - 4.30 PM","8.30 AM - 1.00 PM","1.332516","103.848532","103.848532"
"Towner Road","Blk 101 Towner Road, #01-238/240/242","Singapore 322101","1800-111 1111","6299 0655","8.30 AM - 4.30 PM","8.30 AM - 1.00 PM","1.319641","103.861186","103.861186"
"Westgate","Westgate , 3 Gateway Drive, #04-36 ","Singapore 608532 ","1800-111 1111","6567 2101","10.00 AM - 6.00 PM","10.00 AM - 2.30 PM","1.352083","103.819836","103.819836"
"Woodlands","900 South Woodlands Drive, #02-01 Woodlands Civic Centre"," Singapore 730900 ","1800-111 1111","6368 9394","8.30 AM - 4.30 PM","8.30 AM - 1.00 PM","1.434834","103.786752","103.786752"
